City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Berlevag,NO,2020-07-09 16:16:28,70.86,29.09,48.2,93,75,14.99
199,Te Anau,NZ,2020-07-09 16:16:29,-45.42,167.72,36.25,87,40,0.83
200,Maloy,NO,2020-07-09 16:16:29,61.94,5.11,60.01,66,40,9.17
201,Katsuura,JP,2020-07-09 16:16:29,35.13,140.3,75.0,96,100,5.01
202,Joao Pinheiro,BR,2020-07-09 16:16:29,-17.74,-46.17,83.25,35,0,1.25
203,Orotukan,RU,2020-07-09 16:16:29,62.27,151.7,51.17,83,100,7.34
204,Dawei,MM,2020-07-09 16:16:30,14.08,98.2,79.45,85,100,1.16
205,Umm Lajj,SA,2020-07-09 16:16:30,25.02,37.27,87.03,56,0,6.71
206,Esperanza,DO,2020-07-09 16:16:30,19.58,-70.98,91.0,65,4,8.99
207,Homagama,LK,2020-07-09 16:16:30,6.84,80.0,82.4,94,75,5.82
208,Mount Isa,AU,2020-07-09 16:16:31,-20.73,139.5,57.2,67,6,3.36
209,Mmabatho,ZA,2020-07-09 16:16:31,-25.85,25.63,57.2,50,0,6.93
210,Cidreira,BR,2020-07-09 16:16:31,-30.18,-50.21,55.54,62,0,19.42
211,Vostok,RU,2020-07-09 16:16:31,46.49,135.88,53.87,100,93,2.1
212,Half Moon Bay,US,2020-07-09 16:16:32,37.46,-122.43,68.0,87,90,9.17
213,Kungurtug,RU,2020-07-09 16:16:32,50.6,97.52,49.69,80,28,1.81
214,Ilulissat,GL,2020-07-09 16:14:45,69.22,-51.1,53.6,71,75,12.75
215,Manado,ID,2020-07-09 16:16:32,1.49,124.85,77.0,88,20,2.24
216,Bambous Virieux,MU,2020-07-09 16:13:55,-20.34,57.76,71.6,60,20,16.11
217,Egvekinot,RU,2020-07-09 16:16:33,66.32,-179.17,49.53,83,61,2.1
218,Loandjili,CG,2020-07-09 16:16:33,-4.76,11.86,78.8,74,20,8.05
219,Ponta Do Sol,PT,2020-07-09 16:16:33,32.67,-17.1,75.2,69,20,14.99
220,Tuatapere,NZ,2020-07-09 16:16:33,-46.13,167.68,45.05,81,91,8.1
221,Mayo,US,2020-07-09 16:14:12,38.89,-76.51,84.99,74,75,5.82
222,Clyde River,CA,2020-07-09 16:16:34,70.47,-68.59,48.2,81,75,11.41
223,Korla,CN,2020-07-09 16:14:28,41.76,86.15,87.01,66,100,4.0
224,Buta,CD,2020-07-09 16:16:35,2.79,24.73,81.43,73,81,2.24
225,Xinzhi,CN,2020-07-09 16:16:35,36.5,111.7,77.25,68,1,7.61
226,Pitimbu,BR,2020-07-09 16:16:35,-7.47,-34.81,80.6,78,75,13.87
227,Port Hardy,CA,2020-07-09 16:16:35,50.7,-127.42,55.4,100,75,2.24
228,Mangalam,IN,2020-07-09 16:16:36,9.77,78.67,77.0,88,75,4.7
229,Thompson,CA,2020-07-09 16:11:47,55.74,-97.86,60.8,93,75,9.17
230,Wewak,PG,2020-07-09 16:16:36,-3.55,143.63,79.86,83,64,8.37
231,Georgetown,MY,2020-07-09 16:16:36,5.41,100.34,82.4,83,20,4.34
232,Lerwick,GB,2020-07-09 16:16:37,60.15,-1.15,55.4,82,20,8.05
233,Staryy Nadym,RU,2020-07-09 16:16:37,65.61,72.68,58.33,61,6,14.9
234,Leshukonskoye,RU,2020-07-09 16:16:37,64.9,45.76,64.87,88,30,2.39
235,Nantucket,US,2020-07-09 16:13:54,41.28,-70.1,78.01,83,1,11.41
236,La Ronge,CA,2020-07-09 16:14:29,55.1,-105.28,59.0,87,90,10.29
237,Genhe,CN,2020-07-09 16:16:38,50.78,121.52,61.09,87,90,3.38
238,Bafata,GW,2020-07-09 16:16:38,12.17,-14.75,93.06,53,29,10.16
239,Poum,NC,2020-07-09 16:16:38,-20.23,164.02,69.48,70,20,11.81
240,Kavieng,PG,2020-07-09 16:16:38,-2.57,150.8,82.54,78,21,13.38
241,Dunedin,NZ,2020-07-09 16:15:35,-45.87,170.5,46.0,85,63,5.01
242,Kisesa,TZ,2020-07-09 16:16:39,-3.08,34.15,74.59,45,1,15.3
243,Rio Grande,BR,2020-07-09 16:16:39,-32.03,-52.1,55.4,62,20,13.87
244,Vysokogornyy,RU,2020-07-09 16:16:39,50.12,139.15,52.36,95,90,2.1
245,Ancud,CL,2020-07-09 16:16:39,-41.87,-73.82,51.01,93,20,4.7
246,Muravlenko,RU,2020-07-09 16:16:40,63.79,74.52,59.97,61,7,16.37
247,Grindavik,IS,2020-07-09 16:15:10,63.84,-22.43,53.6,62,75,17.22
248,Khatanga,RU,2020-07-09 16:16:40,71.97,102.5,58.06,59,8,19.73
249,Penzance,GB,2020-07-09 16:16:41,50.12,-5.54,66.0,100,90,10.29
250,Bolotnoye,RU,2020-07-09 16:16:41,55.67,84.4,60.89,86,81,2.93
251,New Norfolk,AU,2020-07-09 16:16:31,-42.78,147.06,36.0,92,3,3.02
252,Rosarito,MX,2020-07-09 16:16:41,32.33,-117.03,68.0,82,5,4.7
253,Byron Bay,AU,2020-07-09 16:16:42,-28.65,153.62,55.99,93,98,4.59
254,Kismayo,SO,2020-07-09 16:16:42,-0.36,42.55,78.8,81,0,15.43
255,Badou,TG,2020-07-09 16:16:42,7.58,0.6,77.14,80,100,4.7
256,Kununurra,AU,2020-07-09 16:16:41,-15.77,128.73,59.0,33,33,8.75
257,Matara,LK,2020-07-09 16:16:42,5.95,80.54,80.08,83,92,9.86
258,Diffa,NE,2020-07-09 16:16:43,13.32,12.61,102.52,20,86,2.68
259,Saldanha,ZA,2020-07-09 16:16:43,-33.01,17.94,53.6,93,100,9.17
260,Sao Felix Do Xingu,BR,2020-07-09 16:16:43,-6.64,-51.99,92.23,31,0,6.71
261,Kardailovo,RU,2020-07-09 16:16:44,51.54,53.9,81.25,54,0,10.02
262,Longyearbyen,SJ,2020-07-09 16:13:51,78.22,15.64,48.2,76,75,12.75
263,Mbini,GQ,2020-07-09 16:16:44,1.57,9.61,78.06,82,69,12.59
264,Coalinga,US,2020-07-09 16:16:44,36.14,-120.36,78.01,37,0,5.01
265,Mujiayingzi,CN,2020-07-09 16:16:44,42.12,118.78,64.4,69,92,2.91
266,Portland,US,2020-07-09 16:15:17,45.52,-122.68,62.01,77,75,2.19
267,Diamantino,BR,2020-07-09 16:16:45,-14.41,-56.45,84.9,41,34,6.71
268,Burnie,AU,2020-07-09 16:16:45,-41.07,145.92,50.0,92,74,1.99
269,Reynosa,MX,2020-07-09 16:16:46,26.08,-98.28,91.4,52,20,11.41
270,Payo,ID,2020-07-09 16:16:46,-3.75,103.64,72.84,95,100,1.39
271,Kiama,AU,2020-07-09 16:16:46,-34.68,150.87,55.0,83,100,5.39
272,Provideniya,RU,2020-07-09 16:16:30,64.38,-173.3,49.21,87,36,1.34
273,Rio Tercero,AR,2020-07-09 16:16:47,-32.17,-64.11,55.74,41,0,12.88
274,Kuchurhan,UA,2020-07-09 16:16:47,47.16,29.79,76.89,39,8,1.74
275,Alatri,IT,2020-07-09 16:16:47,41.73,13.34,89.6,49,40,10.29
276,Husavik,IS,2020-07-09 16:15:27,66.04,-17.34,51.8,66,75,31.09
277,Chaman,PK,2020-07-09 16:16:48,30.92,66.45,80.28,14,0,6.89
278,Torbay,CA,2020-07-09 16:16:48,47.67,-52.73,64.0,63,75,9.17
279,Zaraza,VE,2020-07-09 16:16:48,9.35,-65.32,86.54,62,19,6.24
280,High Level,CA,2020-07-09 16:16:48,58.52,-117.14,62.6,77,75,4.7
281,Kashi,CN,2020-07-09 16:16:48,39.45,75.98,77.0,33,40,8.95
282,Jiblah,YE,2020-07-09 16:16:49,13.92,44.15,69.75,53,85,2.13
283,Magrath,CA,2020-07-09 16:16:49,49.42,-112.87,59.0,72,75,5.82
284,Baykit,RU,2020-07-09 16:16:49,61.67,96.37,48.04,84,56,1.81
285,Salalah,OM,2020-07-09 16:16:35,17.02,54.09,84.2,83,75,8.05
286,Vrede,ZA,2020-07-09 16:16:50,-27.43,29.17,51.94,58,0,9.26
287,Sibiti,CG,2020-07-09 16:16:50,-3.68,13.35,83.73,52,87,3.51
288,Srednekolymsk,RU,2020-07-09 16:14:21,67.45,153.68,53.98,85,95,5.41
289,Oxford,GB,2020-07-09 16:15:14,51.75,-1.26,68.0,88,75,6.93
290,At-Bashi,KG,2020-07-09 16:16:51,41.17,75.81,57.65,58,84,5.17
291,Komsomolskiy,UZ,2020-07-09 16:16:51,40.43,71.72,87.8,18,75,6.93
292,Puerto Narino,CO,2020-07-09 16:16:51,-3.77,-70.38,87.8,74,40,4.7
293,Leticia,CO,2020-07-09 16:16:52,-4.22,-69.94,87.8,74,40,4.7
294,Salamanca,ES,2020-07-09 16:16:52,40.83,-6.0,91.99,18,15,6.93
295,Huarmey,PE,2020-07-09 16:16:53,-10.07,-78.15,67.1,66,44,10.45
296,Uyuni,BO,2020-07-09 16:16:54,-20.46,-66.83,43.75,35,0,6.08
297,Manokwari,ID,2020-07-09 16:16:54,-0.87,134.08,80.53,71,85,5.35
298,Whitehorse,CA,2020-07-09 16:15:14,60.72,-135.05,51.01,76,75,8.05
299,Yurla,RU,2020-07-09 16:16:54,59.33,54.32,79.77,74,38,3.49
300,Narsaq,GL,2020-07-09 16:14:03,60.92,-46.05,48.2,87,75,3.36
301,Maturin,VE,2020-07-09 16:14:12,9.75,-63.18,88.57,55,4,9.31
302,Esperance,AU,2020-07-09 16:14:46,-33.87,121.9,48.2,76,90,6.93
303,The Pas,CA,2020-07-09 16:16:55,53.83,-101.25,59.54,90,98,10.71
